START_DATE,END_DATE,WEEK,MONTH,YEAR,CARRIER,ROUTE,Departures,PASSENGERS,DATE,WeekDay Name,Seasonality,Weather Condition,Holiday Status,Holiday_In_Week,Holiday_Names,SOURCE_SHEET
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Greyhound,Intercity Bus Departures,34,900,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,HCEE - Community,Commuter Bus Departures,75,1153,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Lakeland,Commuter Bus Departures,12,272,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Martz,Commuter Bus Departures,13,456,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,NJ Transit,Commuter Bus Departures,2146,25865,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,260,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,Trailways,Intercity Bus Departures,10,214,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/4/2021,1/8/2021,Jan 4-8,Jan,2021,TransBridge,Commuter Bus Departures,12,315,01/04/2021 - 01/08/2021,Monday,Winter,Cold / Snow,New Year's,0,,Jan 4-8
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Academy,Commuter Bus Departures,37,564,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Coach USA,Commuter Bus Departures,84,1611,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Greyhound,Intercity Bus Departures,32,810,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,HCEE - Community,Commuter Bus Departures,86,1145,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Lakeland,Commuter Bus Departures,12,276,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Martz,Commuter Bus Departures,13,470,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,NJ Transit,Commuter Bus Departures,2078,26156,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,236,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,Trailways,Intercity Bus Departures,10,190,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/11/2021,1/15/2021,Jan 11-15,Jan,2021,TransBridge,Commuter Bus Departures,12,319,01/11/2021 - 01/15/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 11-15
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Academy,Commuter Bus Departures,36,578,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Coach USA,Commuter Bus Departures,84,1540,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Greyhound,Intercity Bus Departures,34,875,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,HCEE - Community,Commuter Bus Departures,76,0,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Lakeland,Commuter Bus Departures,12,268,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Martz,Commuter Bus Departures,13,470,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,NJ Transit,Commuter Bus Departures,2033,23777,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,257,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,Trailways,Intercity Bus Departures,10,194,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/18/2021,1/22/2021,Jan 18-22,Jan,2021,TransBridge,Commuter Bus Departures,12,331,01/18/2021 - 01/22/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 18-22
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Academy,Commuter Bus Departures,35,569,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Coach USA,Commuter Bus Departures,84,1597,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Greyhound,Intercity Bus Departures,33,881,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,HCEE - Community,Commuter Bus Departures,76,1123,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Lakeland,Commuter Bus Departures,12,272,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Martz,Commuter Bus Departures,13,434,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,NJ Transit,Commuter Bus Departures,2052,26578,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,227,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,Trailways,Intercity Bus Departures,10,203,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
1/25/2021,1/29/2021,Jan 25-29,Jan,2021,TransBridge,Commuter Bus Departures,12,315,01/25/2021 - 01/29/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Jan 25-29
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Academy,Commuter Bus Departures,35,569,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Coach USA,Commuter Bus Departures,84,1533,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Greyhound,Intercity Bus Departures,36,996,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,HCEE - Community,Commuter Bus Departures,76,1123,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Lakeland,Commuter Bus Departures,12,272,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Martz,Commuter Bus Departures,13,444,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,NJ Transit,Commuter Bus Departures,2071,25001,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,250,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,Trailways,Intercity Bus Departures,10,221,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/1/2021,2/5/2021,Feb 1-5,Feb,2021,TransBridge,Commuter Bus Departures,12,316,02/01/2021 - 02/05/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 1-5
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Academy,Commuter Bus Departures,35,582,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
2/8/2021,2/12/2021,Feb 8-12,Feb,2021,Coach USA,Commuter Bus Departures,84,1572,02/08/2021 - 02/12/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 8-12
